hinzufügen [ verb[verb]]	<ol></ol><ol><li>add</li><li>add on</li></ol>	fügt hinzu · fügte hinzu · hat hinzugefügt <ul></ul>
die Wendung [ noun]	<ol><li>Veränderung in einer Entwicklung</li><li>mehrere Wörter, die oft zusammen verwendet werden und dabei eine gemeinsame Bedeutung haben</li></ol><ol><li>change</li><li>expression</li></ol>	 plural  Wendungen<ul><li>In der zweiten Halbzeit nahm das Spiel eine unerwartete Wendung. <br><pre> The game took an unexpected turn in the second half.</li><li>die immer gleichen Wendungen verwenden <br><pre> to always use the same expressions</li></ul>
die Gewohnheit [ noun]	<ol><li>Verhaltensweise oder häufig ausgeführte Handlung, die oft automatisch abläuft</li></ol><ol><li>habit</li></ol>	 plural  Gewohnheiten<ul><li>Aus alter Gewohnheit griff er nach der Zigarette, obwohl er das Rauchen aufgegeben hatte. <br><pre> From sheer force of habit he reached for the cigarette, even though he had given up smoking.</li></ul>
terminieren [ verb[ transitive ]]	<ol><li>zeitlich begrenzen</li><li>einen Zeitpunkt für etw. vereinbaren</li></ol><ol><li>to limit</li><li>to schedule</li><li>to set a date for</li></ol>	terminiert · terminierte · hat terminiert <ul><li>eine Veranstaltung auf vier Stunden terminieren <br><pre> to limit an event to four hours</li><li>Das auf / für den 17. Oktober terminierte Treffen muss leider entfallen. <br><pre> The meeting scheduled for October 17th will unfortunately have to be canceled.</li></ul>
der Termin [ noun]	<ol><li>Zeitpunkt, zu dem etw. fertig sein oder geschehen muss</li></ol><ol><li>deadline</li><li>date</li></ol>	 plural  Termine<ul><li>Wann ist der letzte Termin für die Anmeldung? <br><pre> When is the deadline for registration?</li></ul>
die Angewohnheit [ noun]	<ol></ol><ol><li>habit</li></ol>	 plural  Angewohnheiten<ul><li>eine dumme / schlechte Angewohnheit <br><pre> a stupid/bad habit</li></ul>
einlegen [ verb[ transitive ]]	<ol><li>an die passende Stelle bringen</li><li>in einer gewürzten Flüssigkeit haltbar machen</li><li>dazwischenschieben</li><li>offiziell geltend machen</li></ol><ol><li>to insert</li><li>to preserve</li><li>to pickle</li><li>to take</li><li>to file</li></ol>	legt ein · legte ein · hat eingelegt <ul><li>Er legte den Film in die Kamera ein. <br><pre> He inserted the film into the camera.</li><li>sauer / salzig eingelegte Gurken <br><pre> pickles / salt pickles</li><li>eine Gedenkminute für die Unfallopfer einlegen <br><pre> to hold a moment of silence for the victims of the accident</li><li>gegen ein Urteil Berufung einlegen <br><pre> to appeal a verdict</li></ul>
schädlich [ adjective]	<ol><li>Schaden verursachend</li></ol><ol><li>damaging</li><li>harmful</li></ol>	<ul><li>Das Gesetz ist schädlich für die wirtschaftliche Entwicklung. <br><pre> The law is harmful to economic development.</li></ul>
verschieden [ adjective]	<ol><li>nicht gleich</li><li>einige, mehrere</li></ol><ol><li>different</li><li>various</li><li>several</li></ol>	<ul><li>Unsere Interessen sind wohl zu verschieden. <br><pre> Our interests are probably too different.</li><li>Unsere Gäste kommen aus den verschiedensten Ländern. <br><pre> Our guests come from many different countries.</li><li>Es sind noch verschiedene Punkte zu klären. <br><pre> Various points still need to be clarified.</li></ul>
die Quelle [ noun]	<ol><li>aus der Erde kommendes Wasser</li><li>Sache, die etw. bewirkt, hervorruft, verursacht</li><li>Person, von der man Informationen bekommt</li><li>Text, den man beim Schreiben eines anderen Textes auswertet, zitiert</li></ol><ol><li>spring</li><li>source</li></ol>	 plural  Quellen<ul><li>eine heiße Quelle <br><pre> a hot spring</li><li>Das Singen ist für mich eine Quelle der Freude. <br><pre> Singing is a source of pleasure for me.</li><li>etw. aus zuverlässiger Quelle wissen <br><pre> to know sth from a reliable source</li><li>historische Quellen auswerten <br><pre> to analyze historical sources</li></ul>
der Quell [ noun]	<ol><li>Ursprung von etw. Wertvollem</li></ol><ol><li>source</li><li>fount</li></ol>	 plural  Quelle<ul><li>Wasser ist der Quell des Lebens. <br><pre> Water is the source of life.</li></ul>
sondern [ conjunction]	<ol><li>leitet nach einer verneinten Aussage die zutreffende Aussage ein</li></ol><ol><li>but</li></ol>	<ul><li>Nicht Roland, sondern Christine gewann den ersten Preis. <br><pre> It wasn’t Roland but Christine who won first prize.</li></ul>
recken [ verb[ transitive ]]	<ol><li>in die Länge strecken und dehnen</li><li>in eine Richtung strecken</li></ol><ol><li>to stretch</li></ol>	reckt · reckte · hat gereckt <ul><li>Er reckte den Hals. <br><pre> He craned his neck.</li><li>Sie reckte den Kopf aus dem Fenster und sah nach unten. <br><pre> She craned her neck out of the window and looked down.</li></ul>
dringen [ verb[ intransitive ]]	<ol><li>durch etw. irgendwohin gelangen</li></ol><ol><li>to get out/through</li></ol>	dringt · drang · ist gedrungen <ul><li>Leise Stimmen drangen aus dem Haus nach draußen. <br><pre> Soft voices could be heard coming from the house.</li><li>Wir müssen auf rasche Behebung des Schadens dringen. <br><pre> We must insist that the damage be repaired quickly.</li></ul>
wirklich [ adjective adverb]	<ol><li>so, wie es der Wirklichkeit entspricht</li><li>im eigentlichen Sinn des Wortes</li></ol><ol><li>real</li><li>genuine</li><li>true</li><li>really</li></ol>	<ul><li>das wirkliche Leben <br><pre> real life</li><li>Wirkliche Liebe findet man nur selten. <br><pre> You don’t find true love very often.</li><li>Willst du das wirklich tun? <br><pre> Do you really want to do that?</li></ul>
verfolgen [ verb[ transitive ]]	<ol><li>einzuholen versuchen</li><li>mithilfe einer Sache versuchen, etw. herauszufinden</li><li>jdn auf unangenehme Weise beschäftigen</li><li>jdn aus politischen oder religiösen Gründen ungerecht behandeln, vertreiben od. einsperren</li><li>rechtliche Schritte gegen die Täter unternehmen</li><li>verwirklichen wollen</li><li>beobachten</li></ol><ol><li>to pursue</li><li>to follow</li><li>to follow (up)</li><li>to haunt</li><li>to persecute</li><li>to prosecute</li></ol>	verfolgt · verfolgte · hat verfolgt <ul><li>Wir wurden von einem schwarzen Wagen verfolgt. <br><pre> We were pursued by a black car.</li><li>Die Polizei verfolgt eine heiße Spur. <br><pre> The police are following a significant lead.</li><li>Der Gedanke daran verfolgte ihn bis in seine Träume. <br><pre> The thought of it even haunted his dreams.</li><li>eine verfolgte Minderheit <br><pre> a persecuted minority</li><li>Zuwiderhandlungen werden strafrechtlich verfolgt. <br><pre> Non-compliance will result in prosecution.</li><li>Mit der Modernisierung haben wir die richtige Strategie verfolgt. <br><pre> We’ve pursued the right strategy by modernizing.</li><li>Vom Fenster aus konnte ich gut verfolgen, was auf der Straße geschah. <br><pre> From the window I could easily follow what was going on in the street.</li></ul>
